branch,param,pps,solan,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
quickscore,1,30000,3,60,8,6977632.963063833,16618.253341666667,3320.383375
quickscore,1,150000,3,90,8,-3644041.6368647353,74670.48600833333,2782.542233333333
quickscore,1,40000,1,100,16,15738820.934116533,36925.162075,983.5623916666667
quickscore,1,130000,3,90,16,15048606.728456642,118440.429075,653.4927333333334
quickscore,1,140000,3,10,32,16793225.59960247,121910.92766666667,557.2691
quickscore,1,90000,2,60,16,35350158.85592567,83078.44326666667,764.726675
quickscore,1,120000,1,80,32,11520745.111215398,110289.33008333333,685.9826083333334
randforest,1,120000,1,20,32,0.0,95586.65646666667,15998.713741666666
quickscore,1,60000,1,80,8,510.95272224166666,2.698291666666667,7212.687491666667
quickscore,1,20000,3,60,16,8156337.291270842,18464.314458333334,1072.8988333333334
quickscore,1,140000,2,40,8,528.2886286666667,2.848291666666667,7640.842075
randforest,1,20000,1,10,8,0.0,51636.33681666667,41262.46795
quickscore,1,130000,3,50,16,15150411.350377299,119088.91475833334,609.8566916666666
quickscore,1,90000,3,80,16,35347271.276930645,83078.58380000001,795.5577666666667
quickscore,1,60000,3,70,32,23321793.103577815,55386.621816666666,949.0972333333333
svm,2,40000,1,1,1,17066112.043881685,40002.91384166667,909.9893416666666
quickscore,1,150000,2,100,8,573.3866786666666,3.7142666666666666,5643.267775
quickscore,1,90000,2,40,32,35344201.93964148,83077.97079166667,731.1844583333333
quickscore,1,130000,2,50,32,15068385.78292295,118580.31044166666,619.0013166666666
randforest,1,40000,2,10,8,0.0,51284.631675,35993.079625
quickscore,1,30000,2,90,8,11630415.970779175,27694.537941666666,983.5645083333334
quickscore,1,120000,1,100,16,11534241.516404383,110372.3597,675.1286666666666
quickscore,1,80000,2,20,32,31325600.52708075,73847.07574166666,733.9674916666667
quickscore,1,50000,2,80,8,19851149.72125094,46156.117225,902.3326666666667
quickscore,1,100000,2,50,32,3969877.30254721,92308.031975,723.9966333333333
quickscore,1,140000,1,50,32,16670629.65969814,120957.35630833333,625.59225
quickscore,1,70000,1,30,16,27762812.414660167,64617.05363333334,833.3799083333333
quickscore,1,150000,3,40,32,17812033.815884527,121895.853325,589.58455
quickscore,1,150000,3,10,16,18052734.62968731,122953.737575,554.4102833333334
quickscore,1,90000,3,60,16,35343969.17251217,83079.099575,750.70405
randforest,1,20000,3,20,16,0.0,62551.07053333333,40333.09065
quickscore,1,120000,2,60,8,11703536.617046727,110717.1219,640.8858166666666
quickscore,1,120000,3,10,32,11573617.695613608,110716.75094166667,589.1557166666666
quickscore,1,100000,3,100,8,517.4487778499999,2.789941666666667,7878.539583333333
quickscore,1,100000,1,40,16,3968132.14707921,92309.13379166667,679.76275
quickscore,1,70000,2,40,32,27759435.785705615,64617.678766666664,826.1521833333334
quickscore,1,140000,2,30,16,16825468.23212511,121726.94884166667,586.535325
quickscore,1,20000,2,50,16,8155494.427126166,18463.886,986.7264333333334
randforest,1,60000,3,20,64,0.0,88100.78803333333,23056.874
quickscore,1,20000,2,10,8,8164915.159209425,18464.123816666666,915.479175
quickscore,1,40000,1,70,32,15758997.720057717,36925.18585833333,976.6444333333334
quickscore,1,60000,3,50,8,504.97376540833335,2.6316833333333336,7598.504883333333
quickscore,1,90000,3,90,8,-318045.78084257344,83078.71498333334,798.2276583333334
quickscore,1,100000,3,30,8,921099.0102008765,85856.87791666666,1135.5806333333333
randforest,1,30000,3,20,8,0.0,61104.250908333335,38359.717208333335
quickscore,1,110000,2,60,32,7144833.731818509,101540.46846666667,716.358175
randforest,1,30000,1,20,8,0.0,60944.68713333333,40226.091975
quickscore,1,40000,2,100,16,15743419.6528789,36924.77223333334,1005.0493916666667
randforest,1,110000,2,10,8,0.0,68386.70185833333,18395.7042
quickscore,1,80000,2,30,32,31319614.68643968,73847.94218333333,775.0267166666666
quickscore,1,100000,3,80,8,513.9973797333333,2.7649000000000004,6478.948608333333
quickscore,1,10000,2,50,8,3740151.537191883,9233.738508333334,1306.463725
quickscore,1,30000,3,50,32,11536884.812232433,27694.613125,951.457525
randforest,1,30000,2,10,8,0.0,51030.31305,43073.63396666667
randforest,1,10000,3,20,16,0.0,36629.940116666665,249127146.79963335
quickscore,1,140000,1,60,32,16606802.338303892,120675.50441666666,637.574375
quickscore,1,20000,3,70,8,8190759.381022425,18190.766291666667,1055.1170166666666
randforest,1,90000,2,10,32,0.0,84328.42965833333,20251.884016666667
quickscore,1,120000,2,50,8,8457338.67726655,102819.04071666667,957.4019583333334
quickscore,1,80000,3,80,16,31323477.959054932,73847.51625833333,827.7773916666666
quickscore,1,120000,3,80,32,11529257.331236359,110350.03879166667,684.4859333333334
quickscore,1,130000,1,60,8,523.1084759333334,2.814941666666667,6553.44405
