branch,param,pps,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
randforest,1,150000,20,64,0.0,107487.21913055556,13459.944141666667
svm,2,150000,1,1,17376913.82423628,120252.79567777777,612.5951722222222
quickscore,1,20000,90,32,8154770.599439619,18463.574994444443,1150.4820666666667
quickscore,1,110000,40,16,7152480.953530023,101539.67898611112,639.7673722222222
quickscore,1,90000,10,32,35344775.28388353,83078.30948055556,677.677811111111
quickscore,1,50000,90,32,19862758.43591474,46155.924669444445,983.7390027777778
quickscore,1,20000,30,32,8156320.624757711,18463.739041666668,1020.2487027777778
svm,1,60000,1,1,23483827.693899054,54458.16076944445,5618.950361111111
base,2,150000,1,1,25168953.617305037,140063.1448,67.88117222222222
quickscore,1,60000,80,8,15559256.06385739,36670.132483333335,3012.7627583333333
quickscore,1,100000,10,16,3970455.6763790078,92308.54073611111,628.2279083333333
quickscore,1,140000,10,16,16909187.630295377,122182.18595277779,554.6904944444444
quickscore,1,80000,80,16,31321898.961367186,73847.78126388889,823.5096861111111
quickscore,1,40000,10,16,15738883.573266016,36925.21202222222,805.6115944444444
randforest,1,80000,20,32,0.0,93743.4168111111,16513.909808333334
quickscore,1,70000,100,32,27761424.638649557,64617.10440833333,969.0126138888888
base,2,90000,1,1,2508269.1547868187,89992.22057777777,73.19061111111111
quickscore,1,110000,100,8,4799253.058918356,67692.60601944444,2723.8577472222223
randforest,1,110000,20,64,0.0,97865.81468611112,15411.845480555556
quickscore,1,130000,50,32,15080107.371412734,118637.87724722222,625.4266944444445
base,2,100000,1,1,7276678.542190289,99988.95354722222,73.32433055555555
quickscore,1,10000,20,8,1615168.0153198834,3702.3337055555553,4082.0430833333335
quickscore,1,60000,70,32,23321779.26864272,55386.51902777778,950.3580972222222
svm,2,10000,1,1,4028140.273753861,10003.102058333334,1263.387575
randforest,1,120000,20,16,0.0,89343.06448055555,15823.679691666666
quickscore,1,130000,60,16,15108471.426927628,118837.56821666667,617.4368694444445
randforest,1,70000,10,64,0.0,82179.60527222222,21846.94914722222
randforest,1,30000,20,32,0.0,71898.56560277777,35609.524691666666
